execution_time_seconds,average_memory_mib,peak_memory_mib
28.217807788,1098.92,1546.46
27.126702006,1125.91,1554.71
27.141730964,1173.62,1574.87
27.124895381,1119.65,1574.07
29.132488870,1143.65,1570.90
29.123911629,1118.35,1601.94
29.125604899,1111.90,1545.32
27.128097791,1131.07,1572.99
27.146284775,1086.16,1593.96
27.134318964,1153.65,1585.89
