execution_time_seconds,average_memory_mib,peak_memory_mib
28.224731569,1109.99,1573.89
27.113191013,1104.76,1531.98
27.119017915,1126.78,1551.11
27.122732862,1109.32,1599.64
29.147096115,1035.07,1555.41
27.134368859,1178.35,1602.14
29.129306962,1125.11,1595.78
29.129053381,1211.10,1650.79
29.133303292,1148.90,1580.75
29.130613516,1088.42,1561.63
