execution_time_seconds,average_memory_mib,peak_memory_mib
28.212814328,1090.53,1590.39
27.136613122,1050.78,1522.77
27.117781734,1101.41,1616.66
27.126381198,1122.82,1548.51
27.118763200,1075.15,1544.55
27.139935698,1158.17,1568.22
29.132235250,1141.46,1604.99
27.132390083,1149.54,1552.44
27.135514314,1103.53,1581.66
29.129151972,1173.26,1565.24
