execution_time_seconds,average_memory_mib,peak_memory_mib
26.305835196,1072.84,1520.01
29.125651552,1104.13,1544.22
27.126992891,1149.76,1570.88
27.132747373,1132.17,1594.04
29.135527151,1190.53,1573.57
29.142926860,1133.89,1561.61
29.132025038,1072.73,1544.10
29.128750774,1090.24,1602.37
29.159559872,1144.72,1584.83
29.142950136,1191.74,1615.67
