execution_time_seconds,average_memory_mib,peak_memory_mib
28.214369823,1127.02,1574.91
29.134970325,1153.11,1609.14
27.135530314,1101.65,1593.96
29.161452868,1059.73,1527.98
27.122255521,1073.07,1532.86
27.128853748,1131.35,1572.12
27.117049560,1065.41,1511.08
29.142343631,1171.20,1558.63
29.135640037,1146.14,1570.16
27.146650718,1146.36,1592.80
