execution_time_seconds,average_memory_mib,peak_memory_mib
28.206770373,1097.77,1588.07
29.145599287,1162.06,1598.92
29.133758683,1158.00,1559.60
29.119644198,1075.34,1577.17
29.143009909,1229.67,1685.13
29.128224451,1191.10,1626.98
27.129804678,1166.65,1593.79
29.143748008,1062.03,1569.13
29.128369517,1196.94,1595.26
29.138498363,1153.71,1556.27
