execution_time_seconds,average_memory_mib,peak_memory_mib
28.200633152,1046.64,1529.45
29.118504296,1185.44,1613.90
29.157208374,1133.98,1540.61
29.138817924,1143.19,1551.68
27.122644902,1152.99,1583.77
29.137936371,1160.60,1565.99
29.136822316,1164.17,1584.32
27.160037765,1119.74,1587.82
29.127264868,1124.42,1564.26
29.127846099,1154.26,1601.62
